# Table 2 
# CN Violet Deltanu = 0 Band Sequence Fluorescence Efficiencies
# 
# 
# $\dot{r}$_H L/N x r_H^2 (erg s^-1 molecule^-1) at r_H (AU)
# (km s^-1) (au)
rdot    rh0.250  rh0.354  rh0.500  rh0.707  rh1.000  rh1.414  rh2.000  rh2.828  rh4.000  rh5.657
+05.0    3.401    4.245    4.639    4.710    4.645    4.489    4.317    4.219    4.252    4.375    
+06.0    3.392    4.104    4.687    4.822    4.780    4.636    4.477    4.403    4.464    4.619    
+07.0    3.473    3.889    4.572    4.799    4.797    4.672    4.532    4.487    4.584    4.776    
+08.0    3.564    3.739    4.384    4.727    4.786    4.679    4.542    4.509    4.626    4.845    
+09.0    3.610    3.642    4.187    4.639    4.781    4.690    4.532    4.476    4.579    4.795    
+10.0    3.598    3.553    4.003    4.524    4.744    4.666    4.471    4.362    4.418    4.601    
+11.0    3.539    3.456    3.834    4.366    4.630    4.548    4.312    4.148    4.151    4.295    
+12.0    3.448    3.354    3.669    4.169    4.445    4.350    4.088    3.895    3.872    3.994    
+13.0    3.342    3.258    3.512    3.977    4.283    4.204    3.952    3.771    3.753    3.869    
+14.0    3.233    3.165    3.362    3.817    4.223    4.227    4.022    3.870    3.853    3.945    
+15.0    3.133    3.078    3.229    3.678    4.204    4.336    4.194    4.054    4.004    4.030    
+16.0    3.058    3.021    3.151    3.572    4.111    4.295    4.190    4.046    3.945    3.891    
+17.0    3.020    3.027    3.168    3.539    3.979    4.114    4.011    3.857    3.716    3.614    
+18.0    3.030    3.121    3.293    3.597    3.915    3.989    3.872    3.694    3.523    3.406    
+19.0    3.090    3.277    3.489    3.721    3.909    3.918    3.778    3.572    3.380    3.266    
+20.0    3.183    3.436    3.680    3.845    3.895    3.826    3.665    3.444    3.259    3.171    
+21.0    3.290    3.550    3.797    3.900    3.839    3.704    3.538    3.344    3.209    3.170    
+22.0    3.396    3.606    3.827    3.887    3.774    3.624    3.496    3.381    3.332    3.350    
+23.0    3.483    3.613    3.800    3.850    3.741    3.614    3.551    3.542    3.594    3.678    
+24.0    3.538    3.597    3.756    3.813    3.720    3.599    3.560    3.617    3.759    3.925    
+25.0    3.561    3.570    3.711    3.776    3.688    3.538    3.464    3.515    3.687    3.915    
+26.0    3.562    3.532    3.654    3.713    3.617    3.436    3.323    3.342    3.495    3.729    
+27.0    3.550    3.479    3.564    3.602    3.493    3.303    3.183    3.198    3.335    3.546    
+28.0    3.518    3.410    3.451    3.467    3.360    3.188    3.091    3.122    3.258    3.451    
+29.0    3.464    3.336    3.353    3.376    3.300    3.162    3.089    3.133    3.262    3.431    
+30.0    3.405    3.282    3.309    3.372    3.349    3.251    3.191    3.226    3.324    3.435    
+31.0    3.384    3.295    3.357    3.469    3.499    3.430    3.363    3.366    3.402    3.421    
+32.0    3.412    3.380    3.482    3.636    3.704    3.648    3.556    3.501    3.458    3.380    
+33.0    3.455    3.481    3.620    3.800    3.890    3.835    3.710    3.587    3.468    3.328    
+34.0    3.499    3.564    3.725    3.915    4.013    3.955    3.802    3.633    3.477    3.329    
+35.0    3.557    3.647    3.814    3.990    4.080    4.019    3.856    3.677    3.538    3.438    
+36.0    3.618    3.723    3.879    4.017    4.082    4.015    3.851    3.679    3.579    3.552    
+37.0    3.667    3.768    3.898    3.990    4.021    3.944    3.776    3.605    3.535    3.573    
+38.0    3.702    3.784    3.885    3.948    3.958    3.877    3.711    3.546    3.494    3.565    
+39.0    3.736    3.801    3.883    3.942    3.953    3.879    3.723    3.573    3.532    3.599    
+40.0    3.774    3.826    3.892    3.963    3.990    3.931    3.792    3.662    3.627    3.665    
+41.0    3.808    3.862    3.909    3.985    4.024    3.986    3.869    3.760    3.728    3.736    
+42.0    3.830    3.906    3.936    4.007    4.058    4.047    3.965    3.888    3.873    3.874    
+43.0    3.837    3.945    3.961    4.028    4.100    4.132    4.105    4.082    4.106    4.130    
+44.0    3.820    3.958    3.960    4.026    4.123    4.205    4.244    4.284    4.359    4.426    
+45.0    3.790    3.945    3.927    3.978    4.084    4.200    4.289    4.379    4.494    4.597    
+46.0    3.770    3.918    3.872    3.890    3.975    4.086    4.187    4.295    4.422    4.535    
+47.0    3.763    3.880    3.810    3.790    3.826    3.880    3.941    4.025    4.133    4.228    
+48.0    3.755    3.831    3.745    3.694    3.665    3.629    3.611    3.641    3.712    3.774    
+49.0    3.745    3.784    3.694    3.627    3.551    3.445    3.366    3.352    3.386    3.415    
+50.0    3.745    3.765    3.689    3.636    3.557    3.436    3.344    3.317    3.329    3.331    
+51.0    3.760    3.788    3.744    3.724    3.667    3.556    3.476    3.462    3.472    3.460    
+52.0    3.795    3.852    3.846    3.865    3.833    3.725    3.651    3.665    3.702    3.710    
+53.0    3.839    3.938    3.971    4.031    4.023    3.912    3.839    3.886    3.968    4.017    
+54.0    3.883    4.027    4.092    4.188    4.206    4.104    4.045    4.137    4.271    4.358    
+55.0    3.925    4.095    4.174    4.292    4.337    4.258    4.230    4.375    4.564    4.695    
+56.0    3.965    4.125    4.201    4.326    4.386    4.329    4.327    4.506    4.739    4.911    
+57.0    3.992    4.126    4.191    4.301    4.355    4.304    4.316    4.509    4.764    4.960    
+58.0    3.988    4.090    4.137    4.215    4.244    4.192    4.215    4.414    4.670    4.866    
+59.0    3.930    3.985    4.007    4.051    4.054    4.007    4.051    4.253    4.495    4.669    
+60.0    3.830    3.826    3.822    3.839    3.827    3.799    3.864    4.059    4.273    4.413    
